Air Quality Index (AQI),Temperature (C),Humidity (%),Noise (dBA),Lighting (LUX),PMERi Score,Risk Label
0.378,0.674,1,0.656,0,0.54,1
0.56,0.747,1,0.676,0,0.6,1
0.79,0.8,1,0.707,0,0.66,1
0.755,0.832,1,0.707,0,0.66,1
0.744,0.853,1,0.709,0,0.66,1
0.727,0.884,0.997,0.705,0,0.66,1
0.713,0.926,0.973,0.706,0,0.66,1
0.7,0.874,0.976,0.801,0,0.67,1
0.694,0.8,1,0.724,1,0.84,2
1,1,0.998,1,0,0.8,2
0.395,0.6,1,0.708,0,0.54,1
0.365,0.653,1,0.736,0,0.55,1
0.761,0.705,1,0.719,0,0.64,1
0.751,0.768,1,0.752,0,0.65,1
0.355,0.415,0.714,0.354,0,0.37,0
0.215,0.522,0.63,0.511,0,0.38,0
0.741,0.8,1,0.719,0,0.65,1
0.744,0.832,1,0.684,0,0.65,1
0.728,0.842,1,0.676,0,0.65,1
0.395,0.6,1,0.671,0,0.53,1
0.365,0.653,1,0.668,0,0.54,1
0.761,0.705,1,0.76,0,0.65,1
0.751,0.768,1,0.669,0,0.64,1
0.741,0.8,1,0.669,0,0.64,1
0.744,0.832,1,0.68,0,0.65,1
0.728,0.842,1,0.692,0,0.65,1
0.395,0.6,1,0.672,1,0.73,2
0.365,0.653,1,0.671,0,0.54,1
0.761,0.705,1,1,0,0.69,1
0.751,0.768,1,0.993,0,0.7,2
0.741,0.8,1,0.956,0,0.7,2
0.744,0.832,1,0.72,0,0.66,1
0.728,0.842,1,0.944,0,0.7,2
0.395,0.6,1,0.924,0,0.58,1
0.365,0.653,1,0.998,0,0.6,1
0.761,0.705,1,1,0,0.69,1
0.751,0.768,1,1,0,0.7,2
0.741,0.8,1,0.901,0,0.69,1
0.744,0.832,1,0.896,0,0.69,1
0.728,0.842,1,1,0,0.71,2
0.395,0.6,1,0.742,0,0.55,1
0.365,0.653,1,0.987,0,0.6,1
0.761,0.705,1,0.931,0,0.68,1
0.751,0.768,1,1,0,0.7,2
0.741,0.8,1,1,0,0.71,2
0.744,0.832,1,1,0,0.72,2
0.728,0.842,1,0.916,0,0.7,2
0.395,0.6,1,0.893,0,0.58,1
0.365,0.653,1,0.908,0,0.59,1
0.761,0.705,1,0.929,0,0.68,1
0.751,0.768,1,0.987,0,0.7,2
0.741,0.8,1,0.964,1,0.9,2
0.744,0.832,1,1,1,0.92,2
0.728,0.842,1,1,0,0.71,2
0.451,0.654,0.225,0.412,0,0.35,0
0.337,0.541,0.331,0.455,0,0.33,0
0.395,0.6,1,0.682,0,0.54,1
0.365,0.653,1,0.782,0,0.56,1
0.761,0.705,1,0.751,0,0.64,1
0.751,0.768,1,0.805,0,0.66,1
0.741,0.8,1,0.681,0,0.64,1
0.744,0.832,1,0.742,0,0.66,1
0.728,0.842,1,0.735,0,0.66,1
0.395,0.6,1,0.684,0,0.54,1
0.365,0.653,1,0.725,0,0.55,1
0.761,0.705,1,0.688,0,0.63,1
0.751,0.768,1,0.671,1,0.84,2
0.741,0.8,1,0.829,0,0.67,1
0.744,0.832,1,0.681,0,0.65,1
0.728,0.842,1,0.676,0,0.65,1
0.395,0.6,1,0.676,0,0.53,1
0.365,0.653,1,0.687,0,0.54,1
0.761,0.705,1,0.681,0,0.63,1
0.751,0.768,1,0.88,0,0.68,1
0.741,0.8,1,0.695,0,0.65,1
0.744,0.832,1,0.702,0,0.66,1
0.728,0.842,1,0.709,0,0.66,1
0.395,0.6,1,0.995,0,0.6,1
0.365,0.653,1,1,0,0.6,1
0.761,0.705,1,1,0,0.69,1
0.751,0.768,1,0.686,0,0.64,1
0.741,0.8,1,0.868,1,0.88,2
0.405,0.604,0.23,0.4,0,0.33,0
0.331,0.412,0.33,0.213,0,0.26,0
0.307,0.501,0.34,0.5,0,0.33,0
0.744,0.832,1,1,0,0.72,2
0.728,0.842,1,1,0.32,0.78,2
0.395,0.6,1,1,0,0.6,1
0.365,0.653,1,0.708,0,0.55,1
0.761,0.705,1,0.994,0,0.69,1
0.751,0.768,1,1,0,0.7,2
0.741,0.8,1,0.423,0,0.59,1
0.744,0.832,1,0.586,0,0.63,1
0.728,0.842,1,0.755,1,0.86,2
0.744,0.884,1,0.721,0,0.67,1
0.721,0.895,0.997,0.707,0,0.66,1
0.712,0.926,0.99,0.704,0,0.67,1
0.695,0.905,1,0.711,0,0.66,1
0.686,0.937,0.997,0.708,0,0.67,1
0.681,0.968,0.98,0.711,0,0.67,1
0.667,0.968,0.973,0.711,0,0.66,1
0.669,0.947,1,0.705,0,0.66,1
0.744,0.884,1,0.706,0,0.67,1
0.721,0.895,0.997,0.711,0,0.66,1
0.712,0.926,0.99,0.768,0,0.68,1
0.695,0.905,1,0.713,1,0.86,2
0.686,0.937,0.997,0.705,0,0.66,1
0.681,0.968,0.98,0.696,0,0.67,1
0.667,0.968,0.973,0.724,0,0.67,1
0.669,0.947,1,0.666,0,0.66,1
0.744,0.884,1,0.666,0,0.66,1
0.721,0.895,0.997,0.671,0,0.66,1
0.712,0.926,0.99,0.676,0.545,0.77,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,1,0,0.72,2
0.681,0.968,0.98,1,0,0.73,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0.18,0.76,2
0.744,0.884,1,1,0.182,0.76,2
0.721,0.895,0.997,1,0.555,0.83,2
0.712,0.926,0.99,1,0.525,0.83,2
0.695,0.905,1,1,0.495,0.82,2
0.686,0.937,0.997,1,0.43,0.81,2
0.681,0.968,0.98,1,0.43,0.81,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0,0.72,2
0.744,0.884,1,0.866,0,0.7,2
0.721,0.895,0.997,1,0,0.72,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,0.875,0,0.7,2
0.686,0.937,0.997,0.907,0,0.71,2
0.681,0.968,0.98,0.872,0,0.7,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,1,0.92,2
0.744,0.884,1,1,0,0.73,2
0.721,0.895,0.997,1,0,0.72,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,1,0,0.72,2
0.681,0.968,0.98,1,0,0.73,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0,0.72,2
0.744,0.884,1,1,0,0.73,2
0.721,0.895,0.997,1,0,0.72,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,0.868,1,0.9,2
0.681,0.968,0.98,0.887,0,0.7,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0,0.72,2
0.744,0.884,1,1,0,0.73,2
0.721,0.895,0.997,1,0,0.72,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,1,0.065,0.74,2
0.681,0.968,0.98,1,0,0.73,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0,0.72,2
0.744,0.884,1,1,0,0.73,2
0.721,0.895,0.997,1,0,0.72,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,1,0.54,0.83,2
0.681,0.968,0.98,1,0.056,0.74,2
0.667,0.968,0.973,1,0.545,0.83,2
0.669,0.947,1,1,0.342,0.79,2
0.744,0.884,1,1,0.262,0.78,2
0.721,0.895,0.997,1,0.16,0.75,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,1,1,0.92,2
0.681,0.968,0.98,1,0,0.73,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0,0.72,2
0.744,0.884,1,1,0,0.73,2
0.721,0.895,0.997,1,0,0.72,2
0.712,0.926,0.99,1,0,0.73,2
0.695,0.905,1,1,0,0.72,2
0.686,0.937,0.997,0.674,0,0.66,1
0.681,0.968,0.98,0.668,0,0.66,1
0.667,0.968,0.973,0.671,0,0.66,1
0.669,0.947,1,0.672,0,0.66,1
0.744,0.884,1,0.667,0,0.66,1
0.721,0.895,0.997,0.672,0,0.66,1
0.712,0.926,0.99,0.674,0,0.66,1
0.695,0.905,1,0.668,0,0.65,1
0.686,0.937,0.997,0.671,0,0.66,1
0.681,0.968,0.98,1,0,0.73,2
0.667,0.968,0.973,1,0,0.72,2
0.669,0.947,1,1,0,0.72,2
0.218,1,0.753,0.875,0,0.57,1
0.639,0.947,0.877,0.864,0,0.67,1
0.647,0.958,0.873,0.744,0,0.64,1
0.657,0.968,0.863,0.751,0,0.65,1
0.636,0.958,0.833,0.724,0,0.63,1
0.629,0.979,0.807,0.718,0,0.63,1
0.625,0.989,0.79,0.748,0,0.63,1
0.623,0.979,0.767,0.699,0,0.61,1
0.627,0.989,0.74,0.728,0,0.62,1
0.632,0.979,0.74,0.714,1,0.81,2
0.636,1,0.727,0.938,0,0.66,1
0.63,0.989,0.677,0.706,0,0.6,1
0.669,0.947,1,0.754,0,0.67,1
0.218,1,0.753,0.724,0,0.54,1
0.639,0.947,0.877,0.871,0,0.67,1
0.647,0.958,0.873,0.855,0,0.67,1
0.657,0.968,0.863,0.879,0,0.67,1
0.636,0.958,0.833,1,0,0.69,1
0.629,0.979,0.807,0.869,1,0.86,2
0.625,0.989,0.79,0.871,0,0.65,1
0.623,0.979,0.767,0.855,0,0.64,1
0.627,0.989,0.74,0.871,0,0.65,1
0.632,0.979,0.74,0.854,0,0.64,1
0.636,1,0.727,0.867,0,0.65,1
0.63,0.989,0.677,1,0,0.66,1
0.669,0.947,1,0.906,0,0.7,2
0.218,1,0.753,0.862,0,0.57,1
0.639,0.947,0.877,0.907,0,0.67,1
0.647,0.958,0.873,0.986,0,0.69,1
0.657,0.968,0.863,1,0,0.7,2
0.636,0.958,0.833,0.853,0,0.66,1
0.629,0.979,0.807,0.866,0,0.66,1
0.625,0.989,0.79,1,0,0.68,1
0.623,0.979,0.767,0.841,0,0.64,1
0.627,0.989,0.74,0.88,0,0.65,1
0.632,0.979,0.74,1,0,0.67,1
0.636,1,0.727,1,0,0.67,1
0.63,0.989,0.677,1,0,0.66,1
0.669,0.947,1,0.884,0,0.7,2
0.218,1,0.753,0.868,0,0.57,1
0.639,0.947,0.877,0.895,0,0.67,1
0.647,0.958,0.873,0.872,0,0.67,1
0.657,0.968,0.863,1,0,0.7,2
0.636,0.958,0.833,0.904,0,0.67,1
0.629,0.979,0.807,0.868,0,0.66,1
0.625,0.989,0.79,0.865,0,0.65,1
0.623,0.979,0.767,0.866,0,0.65,1
0.627,0.989,0.74,0.864,0,0.64,1
0.632,0.979,0.74,0.933,0,0.66,1
0.636,1,0.727,0.893,0,0.65,1
0.63,0.989,0.677,0.884,0,0.64,1
0.669,0.947,1,0.848,0,0.69,1
0.218,1,0.753,0.888,0,0.57,1
0.639,0.947,0.877,1,0,0.69,1
0.647,0.958,0.873,1,0,0.7,2
0.657,0.968,0.863,1,0,0.7,2
0.636,0.958,0.833,1,0,0.69,1
0.629,0.979,0.807,1,0,0.68,1
0.625,0.989,0.79,1,0,0.68,1
0.623,0.979,0.767,0.904,0,0.65,1
0.627,0.989,0.74,0.916,0,0.65,1
0.632,0.979,0.74,0.881,0.135,0.67,1
0.636,1,0.727,0.853,0,0.64,1
0.63,0.989,0.677,1,0,0.66,1
0.669,0.947,1,0.853,0,0.69,1
0.218,1,0.753,0.848,0.015,0.57,1
0.639,0.947,0.877,1,1,0.89,2
0.647,0.958,0.873,1,0,0.7,2
0.657,0.968,0.863,1,0.604,0.82,2
0.636,0.958,0.833,0.875,0.587,0.78,2
0.629,0.979,0.807,0.862,0.605,0.78,2
0.625,0.989,0.79,0.856,0,0.65,1
0.623,0.979,0.767,0.852,0,0.64,1
0.627,0.989,0.74,0.848,0,0.64,1
0.632,0.979,0.74,0.869,1,0.84,2
0.505,0.451,0.441,0.312,0,0.34,0
0.433,0.404,0.348,0.211,0,0.28,0
0.545,0.477,0.228,0.231,0,0.3,0
0.636,1,0.727,1,0,0.67,1
0.63,0.989,0.677,1,0.562,0.77,2
0.669,0.947,1,1,0.571,0.84,2
0.218,1,0.753,1,0.507,0.7,2
0.639,0.947,0.877,1,0.507,0.79,2
0.647,0.958,0.873,1,0.424,0.78,2
0.657,0.968,0.863,1,1,0.9,2
0.636,0.958,0.833,1,0.56,0.8,2
0.629,0.979,0.807,1,0.513,0.79,2
0.625,0.989,0.79,1,0.135,0.71,2
0.623,0.979,0.767,1,0.009,0.68,1
0.627,0.989,0.74,1,0.013,0.67,1
0.632,0.979,0.74,1,1,0.87,2
0.636,1,0.727,1,0.015,0.68,1
0.63,0.989,0.677,1,0.165,0.69,1
0.657,0.958,0.79,1,0.011,0.68,1
0.647,1,0.767,0.848,1,0.85,2
